title	year	actors	director	plot	rating	duration	genres	index	poster
A Kings Sacred Oath	2006.0	Emily Davis	Sean Campbell	King Aethelred, facing a rebellion and a dwindling treasury, makes a desperate pact with a mysterious sorcerer. In exchange for his kingdom's prosperity, the sorcerer demands Aethelred's firstborn child. Years later, the king's daughter, Elara, discovers the truth about her father's oath and must choose between her own life and the fate of her kingdom.  As Elara unravels the sorcerer's dark secrets, she must find a way to break the curse and save her people from a terrible destiny.	1.72	61.0	fantasy, historical	0	https://storage.googleapis.com/generated_posters/poster_0.png
The Gambler Queen	2000.0	Nicholas Adams,  Thomas Brown	Anushka Roy	"In a world of high-stakes poker, a brilliant but troubled young woman, known as ""The Gambler Queen,"" rises to the top, captivating the world with her daring plays and enigmatic charm. However, her relentless pursuit of victory leads her down a dangerous path, entangled with a ruthless syndicate and a past she desperately tries to outrun. As the stakes escalate, she must confront her demons and make a life-altering choice: succumb to the allure of power or risk losing everything."	1.53	172.0	Thriller, Drama	1	https://storage.googleapis.com/generated_posters/poster_1.png
Exile of the Prince	2015.0	Lam Yan Yan,  Lorenzo Romano	Emil Huber	Prince Kael, heir to the throne of a powerful kingdom, is framed for treason and exiled to a desolate wasteland.  Haunted by his past and the betrayal of his closest confidant, he must learn to survive in the harsh wilderness while uncovering the truth behind his exile.  Along the way, he encounters a band of rebels who offer him a chance to reclaim his birthright and fight for justice, but at a cost.  Ultimately, Kael must choose between his desire for revenge and the possibility of forging a new destiny.	1.75	76.0	Action, Adventure	2	https://storage.googleapis.com/generated_posters/poster_2.png
Secrets of a Princess	2010.0	Hiro Tanaka	Anushka Roy	Princess Amara, known for her carefree spirit, discovers a hidden journal detailing a dark secret about her family's past. Determined to uncover the truth, she embarks on a perilous journey, facing betrayal and danger, while navigating the complexities of her royal life.  As she delves deeper into the mystery, Amara uncovers a conspiracy that threatens to shatter the kingdom and her own identity.  With the help of a charming commoner, she must choose between her duty to the crown and the truth she has unearthed.	3.23	184.0	Adventure, Thriller	3	https://storage.googleapis.com/generated_posters/poster_3.png
A Knights Tarnished Honor	2017.0	Tiffany Ho,  Wong Mei Ling	Ayaan Mishra	Sir Gareth, a renowned knight, is stripped of his title and banished after being falsely accused of treason.  Haunted by the shame and desperate to clear his name, he embarks on a perilous quest to uncover the truth, facing treacherous landscapes and even more treacherous enemies.  Along the way, he encounters a mysterious woman who holds the key to his redemption, but her motives are shrouded in secrecy.  As Gareth fights for his honor, he must confront not only his enemies but also the demons of his past.	4.74	94.0	Action, Adventure, Historical, Fantasy	4	https://storage.googleapis.com/generated_posters/poster_4.png
Fools Errand	2001.0	Benjamin Carvalho,  Sophie Hoffmann	Aigerim Abilkasymova	A washed-up magician, desperate for a comeback, accepts a seemingly impossible challenge: to make a priceless diamond disappear from a heavily guarded museum.  His plan, however, is riddled with flaws, and he soon finds himself entangled with a cunning thief, a suspicious security guard, and a mysterious woman who seems to know more than she lets on.  As the clock ticks down, the magician must pull off the impossible, or risk losing everything, including his freedom.	2.87	186.0	Thriller, Action	5	https://storage.googleapis.com/generated_posters/poster_5.png
Uprising	2007.0	Ava Davies,  Diya Singh	Ho Ho Yin	In a dystopian future where a tyrannical government controls every aspect of life, a young woman named Anya discovers a hidden network of rebels fighting for freedom. Inspired by their courage, Anya joins their cause, risking everything to expose the government's secrets and ignite a revolution. As the rebellion grows, Anya must confront her own fears and fight for a future where humanity can finally break free from oppression.	1.14	140.0	Action, Thriller	6	https://storage.googleapis.com/generated_posters/poster_6.png
Heresy	2014.0	Matteo Bianchi,  Ava Davies,  Lam Mei Ling	Sophia Schmidt	In a world where religious dogma dictates every aspect of life, a young woman named Anya discovers a hidden book containing forbidden knowledge.  Driven by curiosity and a thirst for truth, she embarks on a dangerous journey to uncover the secrets within, risking everything to challenge the established order.  As she delves deeper, she uncovers a conspiracy that threatens to shatter the very foundations of her society, forcing her to choose between loyalty and her own conscience.  Anya must decide whether to embrace the truth, even if it means facing the wrath of the powerful and the consequences of heresy.	1.25	91.0	Thriller, Adventure	7	https://storage.googleapis.com/generated_posters/poster_7.png
Whispered Confessions	2009.0	Xavier Butler	Min-jun Kim	A reclusive writer, haunted by a dark secret from her past, finds solace in a mysterious online forum where strangers anonymously confess their deepest fears and desires.  As she becomes increasingly drawn into the virtual world, she uncovers a chilling conspiracy that threatens to expose her own hidden truth.  Driven by a desperate need for redemption, she must confront her demons and unravel the web of lies before it's too late.  But the line between reality and the digital world blurs, leaving her questioning who she can trust and what she is truly willing to sacrifice.	3.8	58.0	Thriller, Drama	8	https://storage.googleapis.com/generated_posters/poster_8.png
A Merchants Lucky Break	2008.0	Sophie Johnson	Elizabeth Collins	A struggling antique shop owner, desperate to save his business, stumbles upon a mysterious, ancient artifact.  He soon discovers the artifact grants him incredible luck, but at a steep price.  As his fortunes rise, he must choose between his newfound wealth and the consequences of his actions.  In a race against time, he must unravel the artifact's secrets before it consumes him entirely.	4.79	54.0	Thriller, Fantasy	9	https://storage.googleapis.com/generated_posters/poster_9.png
The Blacksmiths Heirloom	2004.0	Emma Murphy,  Luna Flores,  Melissa Wong	Lee Wai Shan	A young blacksmith, burdened by the legacy of his deceased father, discovers a mysterious heirloom hidden within the family forge.  This artifact, a seemingly ordinary hammer, unlocks a hidden world of magic and ancient secrets, forcing him to confront a powerful enemy who seeks to control its power.  As he learns to wield the hammer's magic, he must choose between protecting his family's legacy and embracing his destiny as a guardian of the ancient world.	1.03	176.0	Fantasy, Action	10	https://storage.googleapis.com/generated_posters/poster_10.png
The Bakers Girl	2003.0	Isaiah Reed,  Samuel Price,  Lee Man Ching	Gabriel Santos	"""The Baker's Girl"" follows a young woman named Lily who dreams of becoming a renowned pastry chef, but her family's bakery is on the verge of closing. When a famous culinary competition offers a life-changing prize, Lily must overcome her insecurities and her family's skepticism to prove her talent and save the bakery. Along the way, she finds love and discovers the true meaning of family and passion."	1.38	109.0	Drama, Romance	11	https://storage.googleapis.com/generated_posters/poster_11.png
A Tailors Wish	2020.0	Gabriel Torres	Nicole Martinez	A struggling tailor, disillusioned with his life, discovers a magical button that grants him one wish. He wishes for success, but soon realizes that true happiness lies not in fame and fortune, but in the joy of creating and the connections he makes with his customers.  As he faces the consequences of his wish, he must learn to appreciate the simple things in life and find fulfillment in his craft.	1.52	57.0	Drama, Fantasy	12	https://storage.googleapis.com/generated_posters/poster_12.png
The Farmers Lonely Wife	2017.0	Chase Brooks	Sarah Cheung	Martha, a lonely farmer's wife, finds solace in her garden, but yearns for more than the quiet life. When a charming traveling salesman arrives, she finds herself drawn to his promises of adventure and excitement. However, her husband's gruff demeanor and the town's gossiping tongues threaten to tear her away from the chance at a new life.  As Martha navigates her desires and the constraints of her rural existence, she must choose between the familiar comfort of her farm and the unknown allure of a life beyond it.	1.9	99.0	Drama, Romance	13	https://storage.googleapis.com/generated_posters/poster_13.png
